Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
0,6.535339355,619.5878446,24.89152154,0.109059009,4.276477026,18.90057479,98.61397059,0.293314497,0.086033394,0.530941132,4.473345588,0.981938697
0,8.749969482,805.957634,28.38939298,0.266538307,3.718115626,14.46461754,63.85881588,0.475051296,0.225673734,0.651352027,3.220071568,0.988834396
1,7.341094971,1143.808219,33.82023387,0.001466811,5.061750412,26.47956316,81.86720593,0.031916712,0.001018677,0.268274889,5.981799798,0.978013693
1,5.958145142,959.7119849,30.9792186,0.001477124,5.677977409,33.42884534,151.229741,0.032023749,0.00102552,0.243850913,7.700918964,0.964189183
0,7.315231323,729.540579,27.01000887,0.146760596,4.283220908,19.07910829,174.988756,0.343849414,0.118232419,0.50113954,6.834688995,0.972788726
0,7.524108887,607.3952578,24.64539019,0.214085626,3.729886121,14.47173605,105.0778816,0.421587453,0.177735981,0.598169203,4.193146417,0.976484963
0,12.30441284,922.7461377,30.37673679,0.128833099,2.930094733,8.969347633,115.2031184,0.320674561,0.102832174,0.532292453,4.88032027,0.974745237
0,15.92947388,1069.950248,32.71009397,0.10765759,2.484002192,6.515889464,94.87428843,0.291321373,0.084868142,0.532261673,4.24205408,0.976774223
0,19.9216156,1166.120922,34.14851274,0.094975457,2.129173011,4.905844176,93.81892009,0.272485776,0.074248498,0.526643666,4.02716682,0.974310317
1,8.476196289,1095.785127,33.10264532,0.003001891,4.364999923,19.68251366,72.5887827,0.045685081,0.002087127,0.361431639,4.590794769,0.9678297
1,9.804611206,1114.829653,33.38906487,0.002436209,3.872727695,15.55286163,66.28546238,0.041140002,0.0016925,0.375617668,4.626763323,0.968749847
1,12.32678223,1150.677144,33.92163239,0.003768576,3.623977732,14.7622699,165.4847906,0.05132105,0.00263385,0.385291641,5.215436001,0.958601277
1,10.19346619,813.9243634,28.52935967,0.009774475,3.359134668,12.18166951,110.568643,0.083283925,0.006936212,0.470426405,3.566798419,0.946884139
0,7.156311035,413.4382213,20.3331803,0.081825463,3.179781353,10.28734659,122.4026637,0.250908149,0.062954899,0.583888569,3.552497225,0.938238115
0,5.291473389,430.9637656,20.7596668,0.354116233,4.369184389,19.63192044,46.86429128,0.555339875,0.308402377,0.721321176,2.373637072,0.987914479
1,12.77394104,988.4031722,31.43887995,0.002234181,3.195462275,11.10187886,84.66410206,0.03939601,0.001552046,0.3731897,5.033599533,0.974600383
1,15.31752014,1076.878002,32.81581938,0.004807546,2.8348342,8.814871887,102.2484151,0.058072768,0.003372446,0.399251412,5.049049049,0.959732931
0,6.24671936,459.398171,21.43357579,0.121085179,3.805883482,14.76742672,95.85850515,0.309860478,0.096013516,0.559772305,4.234020619,0.972072472
0,5.450424194,337.8792909,18.38149316,0.112746338,3.76510753,14.52813236,63.18477131,0.297823227,0.088698675,0.620169305,2.621621622,0.973650519
0,8.333740234,475.7823571,21.81243584,0.204901688,3.078875174,9.949499192,71.20957762,0.411427361,0.169272474,0.652961818,2.899784773,0.972399837
0,6.339523315,293.878381,17.14288135,0.069965444,3.180849338,10.43942586,92.84570989,0.231417756,0.053554178,0.52395752,4.117352828,0.935662144
0,1.480270386,62.09125919,7.879800708,0.132055244,5.944517679,36.98739834,86.34391534,0.324792638,0.105490258,0.535061607,3.875661376,0.912182185
0,4.506057739,280.8291594,16.75795809,0.133243102,4.153132904,17.76802013,52.55454009,0.326223047,0.106421476,0.58116177,3.011792453,0.977915273
0,6.592895508,392.2113385,19.80432626,0.204875701,3.438674599,12.25443475,73.95724138,0.411389097,0.169240989,0.635297022,2.988965517,0.971014757
0,10.96429443,619.8329251,24.89644403,0.126598302,2.720562968,7.775729298,91.60589971,0.31750518,0.100809539,0.564082254,3.771746968,0.966220222
1,7.483703613,761.8197401,27.60108223,0.001379888,4.368951239,20.61496996,83.91363636,0.03094519,0.000957605,0.308661926,5.391991342,0.965808789
0,1.119476318,66.18685309,8.135530289,0.394538601,7.726651463,61.79062408,188.909201,0.589681787,0.34772461,0.721655748,4.339588378,0.891207544
0,5.663375854,421.3915334,20.5278234,0.068329502,4.231537298,18.77510389,109.3194922,0.228934437,0.052410976,0.503781568,4.400896191,0.966815113
0,8.187423706,556.1948274,23.58378314,0.244744382,3.3476589,11.70520294,78.97602441,0.453306016,0.205486344,0.655778967,2.915431561,0.976762481
0,15.85743713,889.2102178,29.81962806,0.193005979,2.243091725,5.483379102,66.4295302,0.398237398,0.158593025,0.633401411,3.030872483,0.980139639
0,4.349365234,214.8537928,14.65789183,0.093111045,3.788105722,14.80847947,44.91455091,0.268945627,0.07233175,0.57890095,2.738738739,0.969132682
1,13.15136719,746.8114624,27.32785141,0.027340414,3.261718813,13.13994529,88.14803544,0.14182376,0.020113979,0.466941892,3.981673091,0.96595518
1,14.83332825,808.6520489,28.43680799,0.039451307,3.21695453,12.87437489,101.5851291,0.171559174,0.02943255,0.495001821,3.870763187,0.963876611
